N,Operaciones,Tiempo_promedio(segundos)
20,760,0.00000000
40,3120,0.00000000
60,7080,0.00000000
80,12640,0.00007143
100,19800,0.00007143
120,28560,0.00014286
140,38920,0.00021429
160,50880,0.00025000
180,64440,0.00035714
200,79600,0.00039286
220,96360,0.00057143
240,114720,0.00064286
260,134680,0.00075000
280,156240,0.00085714
300,179400,0.00085714
320,204160,0.00117857
340,230520,0.00121429
360,258480,0.00135714
380,288040,0.00157143
400,319200,0.00167857
420,351960,0.00189286
440,386320,0.00200000
460,422280,0.00221429
480,459840,0.00232143
500,499000,0.00253571
520,539760,0.00275000
540,582120,0.00292857
560,626080,0.00317857
580,671640,0.00410714
600,718800,0.00360714
620,767560,0.00400000
640,817920,0.00421429
660,869880,0.00435714
680,923440,0.00464286
700,978600,0.00500000
720,1035360,0.00525000
740,1093720,0.00550000
760,1153680,0.00585714
780,1215240,0.00625000
800,1278400,0.00653571
820,1343160,0.00667857
840,1409520,0.00778571
860,1477480,0.00796429
880,1547040,0.00757143
900,1618200,0.00842857
920,1690960,0.00917857
940,1765320,0.00985714
960,1841280,0.00953571
980,1918840,0.00971429
1000,1998000,0.01007143
