N,Operaciones,Tiempo_promedio(segundos)
20,566,0.00000000
40,2002,0.00000000
60,4204,0.00003571
80,7241,0.00007143
100,10964,0.00007143
120,15594,0.00014286
140,21085,0.00021429
160,27256,0.00032143
180,34349,0.00032143
200,42165,0.00046429
220,50822,0.00057143
240,60355,0.00064286
260,70548,0.00078571
280,81562,0.00085714
300,93413,0.00078571
320,106069,0.00110714
340,119456,0.00121429
360,133620,0.00146429
380,148578,0.00153571
400,164247,0.00178571
420,180568,0.00189286
440,197928,0.00207143
460,216101,0.00225000
480,235096,0.00250000
500,254681,0.00267857
520,275114,0.00289286
540,296439,0.00300000
560,318512,0.00350000
580,341457,0.00403571
600,365058,0.00392857
620,389649,0.00407143
640,415028,0.00453571
660,441061,0.00467857
680,468115,0.00492857
700,495683,0.00521429
720,524269,0.00539286
740,553700,0.00632143
760,583764,0.00610714
780,614550,0.00646429
800,646376,0.00675000
820,678871,0.00714286
840,712170,0.00742857
860,746291,0.00792857
880,781332,0.00825000
900,817110,0.00860714
920,853611,0.00889286
940,890939,0.00953571
960,929042,0.00975000
980,967943,0.01014286
1000,1007653,0.01053571
